,one,two
0,C1,C.3
1,C2,C.3
2,C3,C.3
3,O3,O.3
4,C4,C.3
5,C5,C.3
6,C6,C.3
7,C7,C.3
8,O7,O.3
9,C8,C.3
10,C9,C.3
11,C10,C.3
12,C11,C.3
13,C12,C.3
14,O12,O.3
15,C13,C.3
16,C14,C.3
17,C15,C.3
18,C16,C.3
19,C17,C.3
20,C18,C.3
21,C19,C.3
22,C20,C.3
23,C21,C.3
24,C22,C.3
25,C23,C.3
26,O25,O.co2
27,C24,C.2
28,O26,O.co2
29,H1,H
30,H2,H
31,H3,H
32,H4,H
33,H5,H
34,H6,H
35,H7,H
36,H8,H
37,H9,H
38,H10,H
39,H11,H
40,H12,H
41,H13,H
42,H14,H
43,H15,H
44,H16,H
45,H17,H
46,H18,H
47,H19,H
48,H20,H
49,H21,H
50,H22,H
51,H23,H
52,H24,H
53,H25,H
54,H26,H
55,H27,H
56,H28,H
57,H29,H
58,H30,H
59,H31,H
60,H32,H
61,H33,H
62,H34,H
63,H35,H
64,H36,H
65,H37,H
66,H38,H
67,H39,H
