,one,two
0,C1,C.2
1,O1,O.2
2,C2,C.2
3,C2',C.2
4,O2',O.2
5,N2',N.am
6,C3,C.2
7,O3,O.3
8,C4,C.3
9,N4,N.4
10,C4',C.3
11,C4D,C.3
12,C4A,C.3
13,C5,C.3
14,C5A,C.3
15,C6,C.3
16,O6,O.3
17,C6',C.3
18,C6A,C.ar
19,C7,C.ar
20,CL7,Cl
21,C8,C.ar
22,C9,C.ar
23,C10,C.ar
24,O10,O.3
25,C6B,C.ar
26,O11,O.2
27,C5B,C.3
28,C12,C.2
29,O12,O.2
30,C4B,C.3
31,O4B,O.3
32,C11,C.2
33,H2'1,H
34,H2'2,H
35,H3,H
36,H4,H
37,H4'1,H
38,H4'2,H
39,H4'3,H
40,H4D1,H
41,H4D2,H
42,H4D3,H
43,H4A,H
44,H12,H
45,H13,H
46,H5A,H
47,H6'1,H
48,H6'2,H
49,H6'3,H
50,H18,H
51,H19,H
52,H20,H
53,H5B1,H
54,H5B2,H
55,H4B,H
56,H24,H
