,0,1
0,0,HL6
1,0,CMP
2,0,3EV
3,0,TY4
4,0,CTI
5,0,RF1
6,0,HC2
7,0,DXT
8,0,TDC
9,0,GNI
10,0,ITC
11,0,3SF
12,0,REA
13,0,GUN
14,0,GDP
15,0,DAY
16,0,BRL
17,0,2BA
18,0,3AT
19,0,9RA
20,0,FMN
21,0,MUF
22,0,O40
23,0,TCH
24,0,CHD
25,0,MEI
26,0,TX1
27,0,HPA
28,0,OEF
29,0,TMP
30,0,NAP
31,0,DDS
32,0,LAE
33,0,ALA
34,0,TTP
35,0,O8G
36,0,G50
37,0,QUE
38,0,SFG
39,0,DGT
40,0,NAR
41,0,DHT
42,0,ADE
43,0,ADP
44,0,TAC
45,0,APR
46,0,CI2
47,0,VDX
48,0,TX3
49,0,LGD
50,0,GKK
51,0,FNT
52,0,965
53,0,CID
54,0,ATP
55,0,4HY
56,0,NAD
57,0,2PQ
58,1,3GN
59,1,CMP
60,1,FAD
61,1,AAI
62,1,TY4
63,1,HC2
64,1,DXT
65,1,TDC
66,1,ITC
67,1,GUN
68,1,DAY
69,1,FMN
70,1,CHD
71,1,TX1
72,1,HPA
73,1,OEF
74,1,GJW
75,1,NAR
76,1,ADE
77,1,IMD
78,1,TX3
79,1,A92
80,1,L3L
81,1,FNT
82,1,4HY
83,10,73B
84,10,FAD
85,10,RF1
86,10,HC2
87,10,BER
88,10,ANP
89,10,DXT
90,10,TDC
91,10,GNI
92,10,G2P
93,10,ITC
94,10,3SF
95,10,GUN
96,10,REA
97,10,BRL
98,10,9RA
99,10,O40
100,10,TCH
101,10,MEI
102,10,HPA
103,10,OEF
104,10,MHF
105,10,YPA
106,10,G50
107,10,DGT
108,10,ADE
109,10,CEK
110,10,S44
111,10,TAC
112,10,APR
113,10,ADP
114,10,CI2
115,10,SAL
116,10,FNT
117,10,965
118,10,CID
119,10,ATP
120,10,4HY
121,10,NAD
122,10,2PQ
123,11,YPA
124,11,P83
125,11,3EV
126,11,SFG
127,11,ANP
128,11,ADE
129,11,DTP
130,11,O40
131,11,DEQ
132,11,965
133,11,HPA
134,11,ADP
135,11,GNI
136,11,NAP
137,11,GUN
138,11,AGS
139,11,2PQ
140,12,3GN
141,12,HL6
142,12,FAD
143,12,CTI
144,12,AAI
145,12,TY4
146,12,ANP
147,12,BER
148,12,TDC
149,12,G2P
150,12,N6R
151,12,GUN
152,12,GDP
153,12,DAY
154,12,BRL
155,12,2BA
156,12,3AT
157,12,NAD
158,12,FMN
159,12,DTP
160,12,TX1
161,12,HPA
162,12,OEF
163,12,TMP
164,12,SDN
165,12,ALA
166,12,GJW
167,12,YPA
168,12,SFG
169,12,ADE
170,12,CEK
171,12,S44
172,12,ADP
173,12,APR
174,12,CI2
175,12,SAH
176,12,TX3
177,12,A92
178,12,L3L
179,12,ERY
180,12,CID
181,12,ATP
182,12,4HY
183,12,AGS
184,12,2PQ
185,13,C2E
186,13,CMP
187,13,CTI
188,13,SFG
189,13,LGD
190,13,DHT
191,13,ANP
192,13,ADE
193,13,SAL
194,13,APR
195,13,S44
196,13,2PQ
197,13,HPA
198,13,N6R
199,13,NAP
200,13,GUN
201,13,GDP
202,14,FAD
203,14,CTI
204,14,TY4
205,14,RF1
206,14,ANP
207,14,BER
208,14,G2P
209,14,3SF
210,14,GUN
211,14,BRL
212,14,TCH
213,14,CHD
214,14,TX1
215,14,HPA
216,14,NAP
217,14,O8G
218,14,YPA
219,14,ADE
220,14,S44
221,14,CI2
222,14,RF2
223,14,TX3
224,14,FNT
225,14,2PQ
226,15,3GN
227,15,HL6
228,15,CMP
229,15,FAD
230,15,3EV
231,15,TY4
232,15,AAI
233,15,RF1
234,15,C5D
235,15,ANP
236,15,BER
237,15,DXT
238,15,TDC
239,15,G2P
240,15,VDB
241,15,ITC
242,15,3SF
243,15,GUN
244,15,GW5
245,15,DTP
246,15,MUF
247,15,TCH
248,15,TX1
249,15,HPA
250,15,DDS
251,15,TMP
252,15,LAE
253,15,TTP
254,15,MHF
255,15,O8G
256,15,GJW
257,15,DGT
258,15,ADE
259,15,ADP
260,15,CI2
261,15,VDX
262,15,SAH
263,15,RF2
264,15,VDA
265,15,TX3
266,15,T3
267,15,FNT
268,15,DEQ
269,15,CID
270,15,AGS
271,16,LAE
272,16,GKK
273,16,HC2
274,16,GDP
275,17,DAY
276,17,73B
277,17,G50
278,17,SAH
279,17,VDX
280,17,FAD
281,17,3EV
282,17,9RA
283,17,VDA
284,17,DGT
285,17,C5D
286,17,GKK
287,17,HC2
288,17,MEI
289,17,CID
290,17,VDB
291,17,CI2
292,17,LAE
293,17,GDP
294,18,E3O
295,18,HL6
296,18,CMP
297,18,ET
298,18,ZTW
299,18,TY4
300,18,RF1
301,18,ANP
302,18,DXT
303,18,TDC
304,18,GNI
305,18,N6R
306,18,VDB
307,18,ITC
308,18,G2P
309,18,REA
310,18,GDP
311,18,DAY
312,18,3AT
313,18,P83
314,18,9RA
315,18,NAD
316,18,DTP
317,18,O40
318,18,TX1
319,18,DDS
320,18,OEF
321,18,LAE
322,18,TTP
323,18,ALA
324,18,EST
325,18,DHT
326,18,NAR
327,18,ADP
328,18,APR
329,18,CI2
330,18,RF2
331,18,VDA
332,18,TX3
333,18,LGD
334,18,GKK
335,18,FNT
336,18,DEQ
337,18,965
338,18,ERY
339,18,CID
340,18,ATP
341,18,4HY
342,18,AGS
343,18,2PQ
344,19,HL6
345,19,CMP
346,19,FAD
347,19,ET
348,19,TY4
349,19,RF1
350,19,ZTW
351,19,3SF
352,19,REA
353,19,DAY
354,19,P83
355,19,GW5
356,19,9RA
357,19,FMN
358,19,TCH
359,19,CHD
360,19,MEI
361,19,TX1
362,19,OHT
363,19,LAE
364,19,EST
365,19,O8G
366,19,SFG
367,19,DHT
368,19,RF2
369,19,TX3
370,19,PTI
371,19,LGD
372,19,GKK
373,19,RAL
374,2,73B
375,2,3GN
376,2,HL6
377,2,CMP
378,2,FAD
379,2,3EV
380,2,AAI
381,2,TY4
382,2,ZTW
383,2,CTI
384,2,C5D
385,2,HC2
386,2,BER
387,2,ANP
388,2,VDB
389,2,GUN
390,2,C2E
391,2,BRL
392,2,TCH
393,2,CHD
394,2,TX1
395,2,HPA
396,2,DDS
397,2,NAP
398,2,LAE
399,2,ALA
400,2,TTP
401,2,MHF
402,2,EST
403,2,GJW
404,2,YPA
405,2,SFG
406,2,DHT
407,2,NAR
408,2,ADE
409,2,S44
410,2,T2B
411,2,ADP
412,2,APR
413,2,CI2
414,2,SAH
415,2,VDX
416,2,IMD
417,2,VDA
418,2,TX3
419,2,A92
420,2,LGD
421,2,SAL
422,2,L3L
423,2,GKK
424,2,T3
425,2,FNT
426,2,DEQ
427,2,ERY
428,2,CID
429,2,ATP
430,2,2PQ
431,20,E3O
432,20,73B
433,20,ET
434,20,TY4
435,20,AAI
436,20,C5D
437,20,ANP
438,20,DXT
439,20,AGS
440,20,TDC
441,20,GNI
442,20,G2P
443,20,VDB
444,20,ITC
445,20,REA
446,20,GDP
447,20,BRL
448,20,2BA
449,20,3AT
450,20,P83
451,20,FMN
452,20,DTP
453,20,O40
454,20,TCH
455,20,TX1
456,20,DDS
457,20,TMP
458,20,NAP
459,20,SDN
460,20,LAE
461,20,TTP
462,20,YPA
463,20,G50
464,20,QUE
465,20,DGT
466,20,NAR
467,20,S44
468,20,T2B
469,20,ADP
470,20,APR
471,20,TAC
472,20,CI2
473,20,TX3
474,20,A92
475,20,T3
476,20,FNT
477,20,965
478,20,ERY
479,20,CID
480,20,ATP
481,20,NAD
482,20,2PQ
483,21,FAD
484,21,3EV
485,21,AAI
486,21,RF1
487,21,C5D
488,21,HC2
489,21,ANP
490,21,DXT
491,21,TDC
492,21,ITC
493,21,3SF
494,21,VDB
495,21,REA
496,21,DAY
497,21,BRL
498,21,9RA
499,21,FMN
500,21,O40
501,21,TCH
502,21,MEI
503,21,DDS
504,21,NAP
505,21,LAE
506,21,TTP
507,21,YPA
508,21,DGT
509,21,DHT
510,21,CEK
511,21,S44
512,21,TAC
513,21,T2B
514,21,ADP
515,21,VDX
516,21,LGD
517,21,GKK
518,21,T3
519,21,965
520,21,DEQ
521,21,ERY
522,21,AGS
523,21,2PQ
524,22,E3O
525,22,3GN
526,22,HL6
527,22,CMP
528,22,FAD
529,22,ZTW
530,22,3EV
531,22,TY4
532,22,RF1
533,22,CTI
534,22,C5D
535,22,AAI
536,22,HC2
537,22,DXT
538,22,TDC
539,22,2PQ
540,22,GNI
541,22,ITC
542,22,VDB
543,22,3SF
544,22,REA
545,22,DAY
546,22,BRL
547,22,P83
548,22,GW5
549,22,9RA
550,22,FMN
551,22,MUF
552,22,O40
553,22,TCH
554,22,CHD
555,22,OHT
556,22,TX1
557,22,OEF
558,22,NAP
559,22,LAE
560,22,EST
561,22,O8G
562,22,YPA
563,22,GJW
564,22,QUE
565,22,DHT
566,22,NAR
567,22,CEK
568,22,S44
569,22,ADP
570,22,TAC
571,22,CI2
572,22,VDX
573,22,SAH
574,22,RF2
575,22,VDA
576,22,TX3
577,22,PTI
578,22,GKK
579,22,SAL
580,22,L3L
581,22,A92
582,22,LGD
583,22,965
584,22,ERY
585,22,CID
586,22,ATP
587,22,4HY
588,22,NAD
589,22,RAL
590,23,E3O
591,23,HL6
592,23,CMP
593,23,FAD
594,23,ZTW
595,23,TY4
596,23,HC2
597,23,ANP
598,23,GNI
599,23,N6R
600,23,GDP
601,23,DAY
602,23,C2E
603,23,GW5
604,23,NAD
605,23,FMN
606,23,MUF
607,23,O40
608,23,TX1
609,23,DDS
610,23,OEF
611,23,OHT
612,23,SDN
613,23,LAE
614,23,TTP
615,23,ALA
616,23,EST
617,23,QUE
618,23,DGT
619,23,DHT
620,23,NAR
621,23,S44
622,23,ADP
623,23,T2B
624,23,TAC
625,23,TX3
626,23,PTI
627,23,LGD
628,23,GKK
629,23,T3
630,23,SAL
631,23,965
632,23,DEQ
633,23,ATP
634,23,4HY
635,23,AGS
636,23,RAL
637,24,HL6
638,24,FAD
639,24,3EV
640,24,TY4
641,24,G2P
642,24,VDB
643,24,GDP
644,24,C2E
645,24,2BA
646,24,3AT
647,24,P83
648,24,TX1
649,24,HPA
650,24,LAE
651,24,MHF
652,24,ADP
653,24,CI2
654,24,VDA
655,24,TX3
656,24,CID
657,24,ATP
658,25,73B
659,25,HL6
660,25,FAD
661,25,CTI
662,25,TY4
663,25,AGS
664,25,REA
665,25,GDP
666,25,GW5
667,25,9RA
668,25,O40
669,25,MEI
670,25,LAE
671,25,SFG
672,25,T2B
673,25,APR
674,25,ADP
675,25,LGD
676,25,T3
677,25,FNT
678,25,965
679,25,NAD
680,26,E3O
681,26,HL6
682,26,CMP
683,26,ET
684,26,CTI
685,26,3EV
686,26,RF1
687,26,FAD
688,26,C5D
689,26,HC2
690,26,BER
691,26,ANP
692,26,AGS
693,26,GNI
694,26,VDB
695,26,3SF
696,26,REA
697,26,BRL
698,26,GW5
699,26,9RA
700,26,FMN
701,26,DTP
702,26,O40
703,26,TCH
704,26,MUF
705,26,MEI
706,26,TX1
707,26,OHT
708,26,OEF
709,26,TMP
710,26,SDN
711,26,LAE
712,26,ALA
713,26,O8G
714,26,YPA
715,26,QUE
716,26,DHT
717,26,CEK
718,26,S44
719,26,ADP
720,26,APR
721,26,TAC
722,26,CI2
723,26,VDX
724,26,IMD
725,26,RF2
726,26,VDA
727,26,LGD
728,26,GKK
729,26,965
730,26,ERY
731,26,CID
732,26,NAD
733,26,2PQ
734,27,73B
735,27,HL6
736,27,ET
737,27,CMP
738,27,ZTW
739,27,TY4
740,27,RF1
741,27,HC2
742,27,ANP
743,27,DXT
744,27,TDC
745,27,2PQ
746,27,GNI
747,27,ITC
748,27,3SF
749,27,BRL
750,27,P83
751,27,GW5
752,27,9RA
753,27,FMN
754,27,MUF
755,27,O40
756,27,TCH
757,27,CHD
758,27,MEI
759,27,OHT
760,27,TX1
761,27,DTP
762,27,LAE
763,27,ALA
764,27,O8G
765,27,EST
766,27,YPA
767,27,CEK
768,27,ADP
769,27,APR
770,27,CI2
771,27,RF2
772,27,TX3
773,27,PTI
774,27,LGD
775,27,SAL
776,27,GKK
777,27,FNT
778,27,CID
779,27,ATP
780,27,RAL
781,28,LAE
782,29,E3O
783,29,73B
784,29,CMP
785,29,FAD
786,29,CTI
787,29,3EV
788,29,ZTW
789,29,ET
790,29,RF1
791,29,C5D
792,29,TY4
793,29,HC2
794,29,BER
795,29,DXT
796,29,2PQ
797,29,TDC
798,29,GNI
799,29,N6R
800,29,VDB
801,29,ITC
802,29,3SF
803,29,REA
804,29,DAY
805,29,BRL
806,29,2BA
807,29,3AT
808,29,GW5
809,29,9RA
810,29,NAD
811,29,FMN
812,29,MUF
813,29,O40
814,29,TCH
815,29,CHD
816,29,MEI
817,29,TX1
818,29,OHT
819,29,OEF
820,29,LAE
821,29,EST
822,29,O8G
823,29,YPA
824,29,G50
825,29,QUE
826,29,DGT
827,29,DHT
828,29,NAR
829,29,CEK
830,29,S44
831,29,TAC
832,29,ADP
833,29,CI2
834,29,VDX
835,29,IMD
836,29,RF2
837,29,VDA
838,29,TX3
839,29,PTI
840,29,LGD
841,29,T3
842,29,GKK
843,29,FNT
844,29,DEQ
845,29,ERY
846,29,965
847,29,CID
848,29,ATP
849,29,4HY
850,29,AGS
851,29,RAL
852,3,FAD
853,3,CTI
854,3,TY4
855,3,BER
856,3,N6R
857,3,GUN
858,3,GDP
859,3,DAY
860,3,O40
861,3,CHD
862,3,TCH
863,3,TX1
864,3,HPA
865,3,OEF
866,3,TMP
867,3,DDS
868,3,LAE
869,3,TTP
870,3,DHT
871,3,ADE
872,3,SAH
873,3,TX3
874,3,LGD
875,3,A92
876,3,GKK
877,3,SAL
878,3,965
879,3,DEQ
880,3,4HY
881,3,RAL
882,30,E3O
883,30,CMP
884,30,ZTW
885,30,3EV
886,30,TY4
887,30,C5D
888,30,HC2
889,30,ANP
890,30,DXT
891,30,2PQ
892,30,TDC
893,30,N6R
894,30,VDB
895,30,ITC
896,30,C2E
897,30,GW5
898,30,9RA
899,30,MUF
900,30,O40
901,30,MEI
902,30,OHT
903,30,EST
904,30,G50
905,30,QUE
906,30,DHT
907,30,NAR
908,30,ADP
909,30,APR
910,30,TAC
911,30,VDX
912,30,VDA
913,30,PTI
914,30,GKK
915,30,LGD
916,30,965
917,30,ERY
918,30,DEQ
919,30,ATP
920,30,4HY
921,30,NAD
922,30,RAL
923,31,C2E
924,31,FAD
925,31,DTP
926,31,DXT
927,31,TDC
928,31,ERY
929,31,ADP
930,31,ITC
931,31,ATP
932,31,TMP
933,32,T3
934,32,ANP
935,32,DTP
936,32,BER
937,32,T2B
938,32,ADP
939,32,G2P
940,32,ATP
941,32,AGS
942,32,MHF
943,33,E3O
944,33,3GN
945,33,ET
946,33,CMP
947,33,ZTW
948,33,CTI
949,33,AAI
950,33,FAD
951,33,TY4
952,33,BER
953,33,ANP
954,33,N6R
955,33,DAY
956,33,GW5
957,33,9RA
958,33,FMN
959,33,DTP
960,33,O40
961,33,TCH
962,33,MUF
963,33,MEI
964,33,OHT
965,33,DDS
966,33,TX1
967,33,SDN
968,33,ALA
969,33,TTP
970,33,EST
971,33,MHF
972,33,YPA
973,33,G50
974,33,QUE
975,33,NAR
976,33,DHT
977,33,CEK
978,33,S44
979,33,ADP
980,33,APR
981,33,TAC
982,33,T2B
983,33,TX3
984,33,A92
985,33,PTI
986,33,LGD
987,33,SAL
988,33,FNT
989,33,965
990,33,DEQ
991,33,ATP
992,33,AGS
993,33,RAL
994,34,E3O
995,34,HL6
996,34,CMP
997,34,ET
998,34,CTI
999,34,3EV
1000,34,ANP
1001,34,BER
1002,34,DXT
1003,34,TDC
1004,34,N6R
1005,34,ITC
1006,34,REA
1007,34,GDP
1008,34,DAY
1009,34,C2E
1010,34,BRL
1011,34,9RA
1012,34,O40
1013,34,TCH
1014,34,CHD
1015,34,MEI
1016,34,OEF
1017,34,TMP
1018,34,NAP
1019,34,EST
1020,34,YPA
1021,34,QUE
1022,34,SFG
1023,34,NAR
1024,34,CEK
1025,34,S44
1026,34,ADP
1027,34,APR
1028,34,T2B
1029,34,TAC
1030,34,VDX
1031,34,VDA
1032,34,LGD
1033,34,SAL
1034,34,T3
1035,34,FNT
1036,34,DEQ
1037,34,965
1038,34,ERY
1039,34,ATP
1040,34,4HY
1041,34,AGS
1042,34,2PQ
1043,35,73B
1044,35,CMP
1045,35,ET
1046,35,3EV
1047,35,C5D
1048,35,DXT
1049,35,TDC
1050,35,GNI
1051,35,VDB
1052,35,REA
1053,35,DAY
1054,35,C2E
1055,35,BRL
1056,35,MEI
1057,35,DDS
1058,35,NAP
1059,35,TTP
1060,35,YPA
1061,35,CEK
1062,35,S44
1063,35,ADP
1064,35,T2B
1065,35,VDX
1066,35,VDA
1067,35,A92
1068,35,ATP
1069,35,2PQ
1070,36,2BA
1071,36,P83
1072,36,SDN
1073,36,MUF
1074,36,AGS
1075,36,ADP
1076,36,NAP
1077,36,ATP
1078,36,NAD
1079,37,E3O
1080,37,CMP
1081,37,ZTW
1082,37,TY4
1083,37,RF1
1084,37,ANP
1085,37,BER
1086,37,G2P
1087,37,3SF
1088,37,GW5
1089,37,NAD
1090,37,O40
1091,37,TCH
1092,37,OHT
1093,37,TX1
1094,37,OEF
1095,37,TMP
1096,37,NAP
1097,37,SDN
1098,37,ALA
1099,37,O8G
1100,37,EST
1101,37,YPA
1102,37,QUE
1103,37,DGT
1104,37,NAR
1105,37,ADP
1106,37,TAC
1107,37,T2B
1108,37,APR
1109,37,RF2
1110,37,TX3
1111,37,PTI
1112,37,GKK
1113,37,SAL
1114,37,T3
1115,37,LGD
1116,37,FNT
1117,37,ERY
1118,37,ATP
1119,37,4HY
1120,37,AGS
1121,37,RAL
1122,38,3GN
1123,38,AAI
1124,38,ANP
1125,38,AGS
1126,38,GDP
1127,38,BRL
1128,38,DTP
1129,38,MEI
1130,38,DDS
1131,38,ALA
1132,38,TTP
1133,38,GJW
1134,38,YPA
1135,38,SFG
1136,38,S44
1137,38,ADP
1138,38,APR
1139,38,A92
1140,38,L3L
1141,38,ATP
1142,38,NAD
1143,39,TY4
1144,39,ATP
1145,39,TX1
1146,39,TX3
1147,4,3GN
1148,4,FAD
1149,4,AAI
1150,4,OEF
1151,4,BER
1152,4,ADE
1153,4,ANP
1154,4,DTP
1155,4,HPA
1156,4,APR
1157,4,ATP
1158,4,GUN
1159,4,AGS
1160,40,C2E
1161,40,VDA
1162,40,9RA
1163,40,C5D
1164,40,ANP
1165,40,FMN
1166,40,CEK
1167,40,ADP
1168,40,OEF
1169,40,VDB
1170,40,ATP
1171,40,REA
1172,40,AGS
1173,41,E3O
1174,41,CMP
1175,41,ZTW
1176,41,RF1
1177,41,HC2
1178,41,ANP
1179,41,RAL
1180,41,N6R
1181,41,3SF
1182,41,REA
1183,41,BRL
1184,41,2BA
1185,41,GW5
1186,41,9RA
1187,41,FMN
1188,41,MUF
1189,41,O40
1190,41,MEI
1191,41,OHT
1192,41,OEF
1193,41,TMP
1194,41,EST
1195,41,O8G
1196,41,YPA
1197,41,G50
1198,41,CEK
1199,41,S44
1200,41,ADP
1201,41,SAH
1202,41,RF2
1203,41,PTI
1204,41,SAL
1205,41,965
1206,41,ATP
1207,41,4HY
1208,41,NAD
1209,41,2PQ
1210,42,E3O
1211,42,3GN
1212,42,HL6
1213,42,CMP
1214,42,FAD
1215,42,3EV
1216,42,AAI
1217,42,RF1
1218,42,CTI
1219,42,ZTW
1220,42,C5D
1221,42,HC2
1222,42,ANP
1223,42,2PQ
1224,42,GNI
1225,42,VDB
1226,42,3SF
1227,42,REA
1228,42,DAY
1229,42,BRL
1230,42,GW5
1231,42,9RA
1232,42,FMN
1233,42,MUF
1234,42,O40
1235,42,TCH
1236,42,CHD
1237,42,MEI
1238,42,OHT
1239,42,DDS
1240,42,OEF
1241,42,DTP
1242,42,O8G
1243,42,EST
1244,42,GJW
1245,42,G50
1246,42,YPA
1247,42,QUE
1248,42,NAR
1249,42,CEK
1250,42,S44
1251,42,ADP
1252,42,CI2
1253,42,SAH
1254,42,VDX
1255,42,RF2
1256,42,VDA
1257,42,A92
1258,42,PTI
1259,42,L3L
1260,42,FNT
1261,42,DEQ
1262,42,965
1263,42,ERY
1264,42,CID
1265,42,ATP
1266,42,4HY
1267,42,RAL
1268,43,GJW
1269,43,ET
1270,43,TY4
1271,43,ANP
1272,43,BER
1273,43,L3L
1274,43,DEQ
1275,43,DDS
1276,43,CID
1277,43,ATP
1278,43,TTP
1279,43,AGS
1280,43,MHF
1281,44,SDN
1282,44,SFG
1283,44,APR
1284,44,CID
1285,44,G2P
1286,44,HPA
1287,44,NAP
1288,44,ATP
1289,44,ADP
1290,44,4HY
1291,44,ALA
1292,44,AGS
1293,44,MHF
1294,45,E3O
1295,45,3GN
1296,45,CMP
1297,45,FAD
1298,45,3EV
1299,45,TY4
1300,45,CTI
1301,45,AAI
1302,45,ET
1303,45,C5D
1304,45,ANP
1305,45,DXT
1306,45,TDC
1307,45,N6R
1308,45,ITC
1309,45,VDB
1310,45,GUN
1311,45,GDP
1312,45,3AT
1313,45,P83
1314,45,FMN
1315,45,DTP
1316,45,MUF
1317,45,O40
1318,45,TX1
1319,45,DDS
1320,45,HPA
1321,45,TMP
1322,45,NAP
1323,45,OEF
1324,45,TTP
1325,45,MHF
1326,45,GJW
1327,45,YPA
1328,45,QUE
1329,45,SFG
1330,45,NAR
1331,45,CEK
1332,45,S44
1333,45,ADP
1334,45,VDX
1335,45,SAH
1336,45,VDA
1337,45,TX3
1338,45,A92
1339,45,PTI
1340,45,L3L
1341,45,965
1342,45,ERY
1343,45,DEQ
1344,45,ATP
1345,45,NAD
1346,46,C2E
1347,46,SAH
1348,46,2BA
1349,46,3AT
1350,46,ATP
1351,46,FAD
1352,46,SAL
1353,46,FMN
1354,46,MUF
1355,46,O40
1356,46,CHD
1357,46,965
1358,46,DEQ
1359,46,TDC
1360,46,OEF
1361,46,ITC
1362,46,SDN
1363,46,4HY
1364,46,GDP
1365,47,73B
1366,47,ET
1367,47,ANP
1368,47,REA
1369,47,GDP
1370,47,C2E
1371,47,P83
1372,47,GW5
1373,47,NAD
1374,47,FMN
1375,47,MEI
1376,47,OHT
1377,47,DDS
1378,47,TMP
1379,47,TTP
1380,47,EST
1381,47,GJW
1382,47,DGT
1383,47,ADP
